Serial_Number,List_Year,Date_Recorded,Town,Address,Assessed_Value,Sale_Amount,Sales_Ratio,Property_Type,Residential_Type,Non_Use_Code,Assessor_Remarks,OPM_remarks,Location,Latitude,Longitude,exact_loc
21000178,2021,1/31/2022,Cheshire,1022 SUMMIT RD,201130,199500,1.008100033,Residential,Single Family,08 - Part Interest,1/2 INTEREST,,-72.95595599 41.531345989,41.53134599,-72.95595599,"1022, Summit Road, 06410, Summit Road, Cheshire, CT, United States"
210862,2021,1/31/2022,Bridgeport,355 RUTH ST,134860,225000,0.599377751,Residential,Single Family,25 - Other,,SHORT SALE PER MLS,-73.217419988 41.20903302,41.20903302,-73.21741999,"355, Ruth Street, 06606, Ruth Street, Bridgeport, CT, United States"
2121120,2021,1/31/2022,Ansonia,175 DIVISION ST,133100,357000,0.372799993,Residential,Two Family,,,,-73.089420029 41.337692007,41.33769201,-73.08942003,"175, Division Street, 06401, Division Street, Ansonia, CT, United States"
210861,2021,1/31/2022,Bridgeport,76 LYON TERRACE,297920,495000,0.601858556,Commercial,,,,,-73.192592959 41.180925021,41.18092502,-73.19259296,"76, Lyon Terrace, 06604, Lyon Terrace, Bridgeport, CT, United States"
210220,2021,1/31/2022,Glastonbury,30 STONY BROOK DR  7A3,68900,142500,0.483500004,Residential,Condo,,,,-72.571134014 41.719449014,41.71944901,-72.57113401,"Hale Farms, Glastonbury, United States"
21183,2021,1/31/2022,Guilford,1231 MOOSE HILL RD,285920,450000,0.635299981,Residential,Single Family,,,,-72.720479999 41.295372993,41.29537299,-72.72048,"1231, Moose Hill Road, 06437, Moose Hill Road, Guilford, CT, United States"
210561,2021,1/31/2022,Danbury,14 HIGHLAND AV,146700,335000,0.437900007,Residential,Single Family,,H13133,,-73.465286025 41.397898002,41.397898,-73.46528603,"14, Highland Avenue, 06810, Highland Avenue, Danbury, CT, United States"
210459,2021,1/24/2022,Bristol,143 GRIDLEY ST,95580,215000,0.444499999,Residential,Two Family,,,,-72.953558011 41.667495003,41.667495,-72.95355801,"143, Gridley Street, 06010, Gridley Street, Bristol, CT, United States"
210093,2021,1/24/2022,Derby,43 PAUGASSETT RD,162330,58000,2.798700094,Residential,Single Family,08 - Part Interest,,,-73.077212038 41.321945009,41.32194501,-73.07721204,"43, Paugassett Road, 06418, Paugassett Road, Derby, CT, United States"
210044,2021,1/24/2022,Bethany,636 AMITY RD,146430,440000,0.332700014,Residential,Single Family,,,,-72.992517014 41.433329983,41.43332998,-72.99251701,"636, Amity Road, 06524, Amity Road, Bethany, CT, United States"
210133,2021,1/24/2022,Cromwell,563A MAIN STREET,128590,245000,0.524800003,Residential,Single Family,,,,-72.654147964 41.62014999,41.62014999,-72.65414796,"563, Main Street, 06416, Main Street, Cromwell, CT, United States"
210459,2021,1/24/2022,New Britain,410-2J FARMINGTON AVE,70140,90000,0.779333353,Residential,Condo,25 - Other,,BELOW MARKET SALE COMPARED TO COMPLEX - RESOLD WITH NO RENOVATIONS #210628,-72.785968393 41.678366342,41.67836634,-72.78596839,"8, Farmington Avenue, 06051, Farmington Avenue, New Britain, CT, United States"
210130,2021,1/24/2022,Avon,47 JACKSON STREET,181880,305000,0.596300006,Residential,Single Family,,,,-72.841544018 41.799886996,41.799887,-72.84154402,"47, Jackson Street, 06001, Jackson Street, Avon, CT, United States"
21222,2021,1/24/2022,Newtown,14-17 PINE STREET,154750,270000,0.573099971,Residential,Single Family,25 - Other,MULTI PARCELS,,-73.273554013 41.432087995,41.432088,-73.27355401,"17, Pine Street, 06482, Pine Street, Newtown, CT, United States"
210272,2021,1/24/2022,Wallingford,6 COMPASS ROCK LN,267100,504900,0.528999984,Residential,Single Family,,,,-72.841898991 41.506241016,41.50624102,-72.84189899,"6, Compass Rock Lane, 06492, Compass Rock Lane, Wallingford, CT, United States"
2100405,2021,1/24/2022,Stratford,635 SECOND HILL LANE,216160,430000,0.502600014,Residential,Single Family,,,,-73.155723984 41.214461015,41.21446102,-73.15572398,"635, Second Hill Lane, 06614, Second Hill Lane, Stratford, CT, United States"
210086,2021,1/24/2022,Tolland,175 HARTFORD TPKE,146200,155000,0.943199992,Commercial,,03 - Inter Corporation,,,-72.419270022 41.865125989,41.86512599,-72.41927002,"175, Tolland Meadows, 06084, Tolland Meadows, Tolland, CT, United States"
21131,2021,1/24/2022,Plainfield,35 JOLLEY RD,102340,238000,0.430000007,Residential,Single Family,,,,-71.903620033 41.758947015,41.75894702,-71.90362003,"35, Jolley Road, 06374, Jolley Road, Plainfield, CT, United States"
210568,2021,1/24/2022,Southington,150-2C BURRITT ST,97650,147000,0.664285719,Residential,Condo,,,,-72.904915983 41.568159015,41.56815902,-72.90491598,"2L, Elliott Drive, 06479, Elliott Drive, Southington, CT, United States"
210801,2021,1/24/2022,Waterbury,73 MOHAWK ST,120850,318877,0.378986269,Residential,Three Family,25 - Other,BULK SALE,,-73.021479004 41.535285987,41.53528599,-73.021479,"73, Mohawk Street, 06706, Mohawk Street, Waterbury, CT, United States"
210307,2021,1/24/2022,Norwich,150 YANTIC ST #306,35200,81900,0.429699987,Residential,Single Family,,,,-72.085816754 41.534144059,41.53414406,-72.08581675,"3, Sachem Terrace, 06360, Sachem Terrace, Norwich, CT, United States"
210031,2021,1/24/2022,Washington,46 HINKLE RD,274310,577500,0.474900007,Residential,Single Family,,,,-73.279972036 41.664197017,41.66419702,-73.27997204,"46, Hinkle Road, 06793, Hinkle Road, Washington, CT, United States"
210110,2021,1/24/2022,Suffield,15 DOWNING WAY,145670,265000,0.549600005,Residential,Condo,,,,-72.664052021 41.982151983,41.98215198,-72.66405202,"Downing Way, 06078, Suffield, Connecticut, United States"
21136,2021,1/24/2022,Plainville,9 STREMLAU AVE,122780,195000,0.629599988,Residential,Single Family,,,,-72.85876799 41.659226004,41.659226,-72.85876799,"9, Stremlau Avenue, 06062, Stremlau Avenue, Plainville, CT, United States"
210796,2021,1/24/2022,Waterbury,93 MORELAND AVE,68900,220000,0.31310001,Residential,Single Family,,,,-72.991196026 41.54664401,41.54664401,-72.99119603,"93, Moreland Avenue, 06705, Moreland Avenue, Waterbury, CT, United States"
210188,2021,1/24/2022,New London,100 PEQUOT AVE SLIP 4007,7000,17000,0.411764711,Commercial,,,,,-72.099287013 41.338080005,41.33808001,-72.09928701,"Ferry Slip Dockominiums, 100, Pequot Avenue, 06320, Pequot Avenue, New London, CT, United States"
2100823,2021,1/24/2022,Stamford,25 VAN BUSKIRK AVENUE,233470,515000,0.453299999,Residential,Single Family,,,,-73.518083968 41.048746012,41.04874601,-73.51808397,"25, Van Buskirk Avenue, 06902, Van Buskirk Avenue, Stamford, CT, United States"
21164,2021,1/24/2022,Ridgefield,205 MOUNTAIN RD,420150,779000,0.539300025,Residential,Single Family,07 - Change in Property,,,-73.496025984 41.343051019,41.34305102,-73.49602598,"205, Mountain Road, 06877, Mountain Road, Ridgefield, CT, United States"
210124,2021,1/24/2022,Seymour,31 WEST ST,101710,184000,0.552699983,Residential,Single Family,,,,-73.077693997 41.393186995,41.393187,-73.077694,"31, West Street, 06483, West Street, Seymour, CT, United States"
210212,2021,1/24/2022,South Windsor,804 TWIN CIRCLE DR,59600,110000,0.541800022,Residential,Condo,,,,-72.578803707 41.822606689,41.82260669,-72.57880371,"804, Twin Circle Drive, 06074, Twin Circle Drive, South Windsor, CT, United States"
210428,2021,1/24/2022,New Haven,102 WHEELER ST,2134965,6431100,0.331900001,Industrial,,,,,-72.898679009 41.298843981,41.29884398,-72.89867901,"100, Wheeler Street, 06513, Wheeler Street, New Haven, CT, United States"
210591,2021,1/24/2022,Norwalk,71 AIKEN ST UNIT A13,130550,245000,0.532800019,Residential,Condo,,5-21-382-A/13,,-73.420586006 41.136430987,41.13643099,-73.42058601,"71, Aiken Street, 06851, Aiken Street, Norwalk, CT, United States"
213361,2021,1/24/2022,North Haven,43 WAYLAND ST,95200,75000,1.269299984,Vacant Land,,,,,-72.903867994 41.373272013,41.37327201,-72.90386799,"45, Wayland Street, 06473, Wayland Street, North Haven, CT, United States"
210193,2021,1/24/2022,New London,63 HEMPSTEAD ST,49630,59000,0.841099977,Residential,Single Family,14 - Foreclosure,,,-72.103438988 41.354245009,41.35424501,-72.10343899,"63, Hempstead Street, 06320, Hempstead Street, New London, CT, United States"
2100404,2021,1/24/2022,Stratford,63B CHEYENNE LANE,122360,295000,0.414700001,Residential,Condo,,,,-73.107462997 41.246954008,41.24695401,-73.107463,"Ottowa Lane, 06461, Stratford, Connecticut, United States"
210033,2021,1/24/2022,Sterling,101 GIBSON HILL RD,261810,565000,0.46329999,Residential,Single Family,,LOG BUILDING BUILT 2011 ON 8.03 ACRES,,-71.797965975 41.704920997,41.704921,-71.79796598,"101, Gibson Hill Road, 06377, Gibson Hill Road, Sterling, CT, United States"
210348,2021,1/24/2022,Torrington,D26 SURREY LN,38760,120000,0.323000014,Residential,Condo,,,,-73.11956504 41.823621989,41.82362199,-73.11956504,"Surrey Lane, 06790, Torrington, Connecticut, United States"
21039,2021,1/24/2022,North Stonington,116 NRWH WSTLY RD,544670,1515000,0.359499991,Commercial,,,,,-71.90452 41.45301,41.45301,-71.90452,"452, Norwich Westerly Road, 06359, Norwich Westerly Road, North Stonington, CT, United States"
210430,2021,1/24/2022,New Haven,533 QUINNIPIAC AV,116060,192000,0.604399979,Residential,Two Family,,,,-72.887832994 41.304756995,41.304757,-72.88783299,"533, Quinnipiac Avenue, 06513, Quinnipiac Avenue, New Haven, CT, United States"
210073,2021,1/24/2022,North Branford,69 WOODS HILL RD,370200,685000,0.540400028,Residential,Single Family,,,,-72.772440004 41.414404987,41.41440499,-72.77244,"69, Woods Hill Road, 06472, Woods Hill Road, North Branford, CT, United States"
210139,2021,1/31/2022,Killingly,59 BROAD ST,111860,187500,0.596586645,Residential,Three Family,,,,-71.880553035 41.799574016,41.79957402,-71.88055304,"59, Broad Street, 06239, Broad Street, Killingly, CT, United States"
210497,2021,1/31/2022,Bristol,367 VILLAGE STREET,258230,475000,0.543600023,Residential,Single Family,,,,-72.888513018 41.649211013,41.64921101,-72.88851302,"367, Village Street, 06010, Village Street, Bristol, CT, United States"
21204,2021,1/31/2022,Farmington,36 WESTVIEW TERR,219640,461000,0.476399988,Residential,Single Family,,,,-72.877992975 41.743636002,41.743636,-72.87799298,"36, Westview Terrace, 06085, Westview Terrace, Farmington, CT, United States"
21000080,2021,1/31/2022,Granby,33 MOOSE HORN RD,168630,220000,0.766499996,Vacant Land,,,,,-72.892665986 41.986622005,41.98662201,-72.89266599,"Moosehorn Road, 06027, Hartland, United States"
21037,2021,1/31/2022,Deep River,12 BELMONT AVE,147770,40000,3.694200039,Residential,Single Family,01 - Family,,,-72.431325965 41.379163988,41.37916399,-72.43132597,"12, Belmont Avenue, 06417, Belmont Avenue, Deep River, CT, United States"
210128,2021,1/31/2022,Berlin,1035 WORTHINGTON RDG,346600,409900,0.845572114,Residential,Single Family,,,,-72.746732036 41.615091009,41.61509101,-72.74673204,"1033, Worthington Ridge, 06037, Worthington Ridge, Berlin, CT, United States"
210568,2021,1/31/2022,Danbury,28 HUNTINGTON DR,339000,680000,0.49849999,Residential,Single Family,,F05065,,-73.483553963 41.444294016,41.44429402,-73.48355396,"28, Huntington Drive, 06811, Huntington Drive, Danbury, CT, United States"
210563,2021,1/31/2022,Danbury,24 CLEARVIEW AV,139600,420000,0.33238095,Residential,Single Family,07 - Change in Property,RENOVATIONS / K04071,,-73.433429009 41.447072994,41.44707299,-73.43342901,"24, Clearview Avenue, 06811, Clearview Avenue, Danbury, CT, United States"
21147,2021,1/31/2022,Monroe,1 PERCHERON DR,392400,762000,0.514900029,Residential,Single Family,07 - Change in Property,NEW CONSTRUCTION 85% COMPLETE 10-1-21,,-73.222102035 41.362563,41.362563,-73.22210204,"1, Percheron Drive, 06468, Percheron Drive, Monroe, CT, United States"
210017,2021,1/31/2022,Lyme,108 ELY FERRY RD,356105,337500,1.055099964,Residential,Single Family,08 - Part Interest,FULL SALE VALUE $675000 (FAMILY SALE),,-72.418141969 41.420250441,41.42025044,-72.41814197,"107, Ferry Road, 06371, Ferry Road, Lyme, CT, United States"
210366,2021,1/31/2022,Fairfield,253 RIVERSIDE AVENUE,451780,705000,0.640799999,Residential,Single Family,,,,-73.580464954 41.029008371,41.02900837,-73.58046495,"2, Spruce Street, 06878, Spruce Street, Greenwich, CT, United States"
210566,2021,1/31/2022,Danbury,14 SOUTH ST 4,144000,300000,0.479999989,Residential,Condo,,K16126-4,,-73.427217013 41.382796998,41.382797,-73.42721701,"14, Mannion Lane, 06810, Mannion Lane, Danbury, CT, United States"
2100128,2021,1/31/2022,Madison,RACE HILL RD MBLU 139-22,13000,130000,0.100000001,Vacant Land,,28 - Use Assessment,sale of land classified as  pa 490 open space,,-72.666316155 41.361932582,41.36193258,-72.66631616,"Race Hill Road, 06437, Madison, Connecticut, United States"
210115,2021,1/31/2022,East Hampton,36 VIOLA DR,264400,500000,0.528800011,Residential,Single Family,,,,-72.487107028 41.578018983,41.57801898,-72.48710703,"36, Viola Drive, 06424, Viola Drive, East Hampton, CT, United States"
210574,2021,1/31/2022,Danbury,79 BRENTWOOD CI,285200,639995,0.445600003,Residential,Condo,,B16001-57,,-73.524607416 41.384614019,41.38461402,-73.52460742,"Brentwood Circle, 96810, Danbury, Connecticut, United States"
210101,2021,1/31/2022,Derby,7F MAPLEWOOD CONDOS,109830,195000,0.563199997,Residential,Condo,,,,-73.089654588 41.332626576,41.33262658,-73.08965459,"11, Maple Avenue, 06418, Maple Avenue, Derby, CT, United States"
2100820,2021,1/24/2022,Stamford,596 GLENBROOK ROAD #19,314700,530000,0.593699992,Residential,Condo,,EXECUTOR'S DEED,,-73.518732979 41.073010993,41.07301099,-73.51873298,"589, Glenbrook Road, 06906, Glenbrook Road, Stamford, CT, United States"
21223,2021,1/24/2022,Newtown,11 DEER HILL DRIVE,194200,890750,0.218018517,Residential,Single Family,07 - Change in Property,CONSTRUCTION NOT COMPLETE,,-73.27609501 41.448622306,41.44862231,-73.27609501,"Shady Rest Boulevard, 06482, Newtown, Connecticut, United States"
210431,2021,1/24/2022,New Haven,264 NEWHALL ST,331062,575000,0.575699985,Apartments,,,,,-72.928171993 41.330935984,41.33093598,-72.92817199,"266, Newhall Street, 06511, Newhall Street, New Haven, CT, United States"
210305,2021,1/24/2022,Norwich,55 SHERMAN ST,60800,170000,0.357600003,Residential,Single Family,,,,-72.09155697 41.53559398,41.53559398,-72.09155697,"55, Sherman Street, 06360, Sherman Street, Norwich, CT, United States"
210061,2021,1/24/2022,Somers,127 COLTON RD,222100,340000,0.653199971,Residential,Single Family,,,,-72.460810986 41.986049987,41.98604999,-72.46081099,"127, Colton Road, 06071, Colton Road, Somers, CT, United States"
2100065,2021,1/24/2022,Prospect,22 NANCY MAE AVE,168450,315000,0.534699976,Residential,Single Family,,,,-72.957160973 41.495645997,41.495646,-72.95716097,"22, Nancy Mae Avenue, 06712, Nancy Mae Avenue, Prospect, CT, United States"
21169,2021,1/24/2022,Southbury,131 PEPPER TREE HILL LANE,208070,380500,0.546800017,Residential,Single Family,,,,-73.196746024 41.480162987,41.48016299,-73.19674602,"131, Pepper Tree Hill Lane, 06488, Pepper Tree Hill Lane, Southbury, CT, United States"
210567,2021,1/24/2022,Southington,1199 WOODRUFF ST,352230,425000,0.828776479,Residential,Single Family,,,,-72.835997964 41.604048019,41.60404802,-72.83599796,"1199, Woodruff Street, 06489, Woodruff Street, Southington, CT, United States"
210193,2021,1/24/2022,Newington,61 DEEPWOOD DR,145820,322000,0.452800006,Residential,Single Family,,,,-72.717036965 41.704328983,41.70432898,-72.71703697,"61, Deepwood Drive, 06111, Deepwood Drive, Newington, CT, United States"
2119858,2021,1/24/2022,Redding,73 STEPNEY RD,392300,750000,0.523000002,Residential,Single Family,07 - Change in Property,FLIP,,-73.321088959 41.311570979,41.31157098,-73.32108896,"73, Stepney Road, 06896, Stepney Road, Redding, CT, United States"
210194,2021,1/24/2022,New London,72 MOUNTAIN AVE,74550,65000,1.146900058,Residential,Two Family,16 - Charitable Group,,,-72.104539029 41.354707019,41.35470702,-72.10453903,"72, Mountain Avenue, 06320, Mountain Avenue, New London, CT, United States"
210186,2021,1/24/2022,New London,29 BRAINARD ST,227430,329000,0.691200018,Commercial,,16 - Charitable Group,BOARDING/ROOMING HOUSE,,-72.102833983 41.357267984,41.35726798,-72.10283398,"29, Brainard Street, 06320, Brainard Street, New London, CT, United States"
210271,2021,1/24/2022,Wallingford,1268 OLD COLONY RD,273200,477500,0.572099984,Commercial,,,,,-72.815945015 41.508396003,41.508396,-72.81594502,"1268, Old Colony Road, 06492, Old Colony Road, Meriden, CT, United States"
210209,2021,1/24/2022,South Windsor,205 HILTON DR,143500,310000,0.462900013,Residential,Single Family,,,,-72.594131107 41.819842505,41.81984251,-72.59413111,"205, Hilton Drive, 06074, Hilton Drive, South Windsor, CT, United States"
21135,2021,1/24/2022,Plainville,492 EAST ST C30,54460,82500,0.660099983,Residential,Condo,,,,-72.869714002 41.650974984,41.65097498,-72.869714,"492, East Street, 06062, East Street, Plainville, CT, United States"
21130,2021,1/24/2022,Plainfield,57 SALISBURY AVE,91020,217000,0.419400007,Residential,Single Family,,,,-71.88738504 41.715056981,41.71505698,-71.88738504,"57, Salisbury Avenue, 06354, Salisbury Avenue, Plainfield, CT, United States"
210094,2021,1/31/2022,East Windsor,5 ALLEN DR,166430,393000,0.423400015,Residential,Single Family,,,,-72.569986029 41.893819003,41.893819,-72.56998603,"5, Allen Drive, 06016, Allen Drive, East Windsor, CT, United States"
21039,2021,1/31/2022,Deep River,6 WESTBROOK RD,218610,106250,2.057499886,Vacant Land,,06 - Portion of Property,,,-72.489289005 41.361251986,41.36125199,-72.48928901,"6, Westbrook Road, 06417, Westbrook Road, Deep River, CT, United States"
210030,2021,1/31/2022,Middlefield,286 JACKSON HILL RD,198200,287000,0.690500021,Residential,Single Family,01 - Family,,,-72.71257402 41.525786985,41.52578699,-72.71257402,"286, Jackson Hill Road, 06455, Jackson Hill Road, Middlefield, CT, United States"
210863,2021,1/31/2022,Bridgeport,950 STATE ST,341210,525000,0.649900019,Residential,Four Family,,,,-73.202443036 41.17280698,41.17280698,-73.20244304,"950, State Street, 06605, State Street, Bridgeport, CT, United States"
21041,2021,1/31/2022,Durham,90 CAMERA RD,150500,289000,0.520699978,Residential,Single Family,,,,-72.731449982 41.426989996,41.42699,-72.73144998,"90, Camera Road, 06422, Camera Road, Durham, CT, United States"
2100244,2021,1/31/2022,Naugatuck,89 WEID DR,3360000,8429003,0.398600012,Commercial,,,,,-73.034096031 41.467263993,41.46726399,-73.03409603,"89, Weid Drive, 06770, Weid Drive, Naugatuck, CT, United States"
210105,2021,1/31/2022,Mansfield,93 MOULTON RD,115100,110000,1.046300054,Residential,Single Family,25 - Other,NOT ON MLS  - NOT ARMS LENGTH SALE,,-72.256702004 41.825230979,41.82523098,-72.256702,"93, Moulton Road, 06268, Moulton Road, Storrs, CT, United States"
2100239,2021,1/31/2022,Naugatuck,84 JOHNSON ST,87810,220000,0.399100006,Residential,Single Family,,,,-73.045913006 41.491443981,41.49144398,-73.04591301,"84, Johnson Street, 06770, Johnson Street, Naugatuck, CT, United States"
210225,2021,1/31/2022,Branford,144 STONY CREEK RD,206400,430000,0.479999989,Residential,Single Family,,,,-72.762730994 41.282762001,41.282762,-72.76273099,"144, Stony Creek Road, 06405, Stony Creek Road, Branford, CT, United States"
21125,2021,1/31/2022,Darien,93 GARDINER ST,764330,1490000,0.512899995,Residential,Single Family,,,,-73.497289975 41.065834994,41.06583499,-73.49728998,"93, Gardiner Street, 06820, Gardiner Street, Darien, CT, United States"
210073,2021,1/31/2022,Canton,67 BRIDGE STREET,158220,300000,0.527400017,Residential,Two Family,,,,-72.927884996 41.809938993,41.80993899,-72.927885,"67, Bridge Street, 06019, Bridge Street, Canton, CT, United States"
210493,2021,1/31/2022,Bristol,"1469 FARMINGTON AVE., UNIT 80",83580,175000,0.477600008,Residential,Condo,,,,-72.895926979 41.70202002,41.70202002,-72.89592698,"1469, Farmington Avenue, 06010, Farmington Avenue, Bristol, CT, United States"
210419,2021,1/31/2022,Hamden,81 HIDEAWAY LA,196770,300000,0.655900002,Residential,Single Family,,,,-72.944606977 41.418454997,41.418455,-72.94460698,"81, Hideaway Lane, 06518, Hideaway Lane, Hamden, CT, United States"
210480,2021,1/31/2022,New Britain,74 TREMONT ST,88900,195000,0.455799997,Residential,Single Family,,,,-72.778067027 41.675846983,41.67584698,-72.77806703,"74, Tremont Street, 06051, Tremont Street, New Britain, CT, United States"
210094,2021,1/31/2022,Litchfield,35 HIGH BRIDGE RD,216610,495000,0.4375,Residential,Single Family,,,,-73.227435021 41.721439004,41.721439,-73.22743502,"35, High Bridge Road, 06750, High Bridge Road, Litchfield, CT, United States"
21151,2021,1/31/2022,Bethel,82 STONY HILL ROAD,685020,1467900,0.466666669,Commercial,,25 - Other,,2ND SALE WITHIN ONE WEEK - ALSO SEE #21150,-73.377218038 41.414255999,41.414256,-73.37721804,"82, Stony Hill Road, 06801, Stony Hill Road, Bethel, CT, United States"
210188,2021,1/31/2022,Harwinton,65 SOUTH RD,233750,500000,0.467500001,Residential,Single Family,,,,-73.060516963 41.766857017,41.76685702,-73.06051696,"65, South Road, 06791, South Road, Harwinton, CT, United States"
210795,2021,1/24/2022,Waterbury,37 SECOND AVE,40680,130000,0.312923074,Residential,Single Family,25 - Other,PRIVATE SALE,,-73.042565022 41.560978993,41.56097899,-73.04256502,"37, Second Avenue, 06710, Second Avenue, Waterbury, CT, United States"
210269,2021,1/24/2022,Wallingford,57 GREEN ST,152900,265000,0.576900005,Residential,Single Family,,,,-72.82601101 41.442573001,41.442573,-72.82601101,"57, Green Street, 06492, Green Street, Wallingford, CT, United States"
210347,2021,1/24/2022,Torrington,62 PULASKI ST,80380,153000,0.525300026,Residential,Single Family,,,,-73.128151965 41.810821985,41.81082199,-73.12815197,"62, Pulaski Street, 06790, Pulaski Street, Torrington, CT, United States"
210589,2021,1/24/2022,Norwalk,33 PROSPECT AVE UNIT 33P & CLA,103690,215000,0.482199997,Residential,Condo,,1-19-13C-339 (CONDO) & 1-19-13C-G14 (GARAGE UNIT),,-73.421878998 41.114697005,41.11469701,-73.421879,"22, Bedford Avenue, 06850, Bedford Avenue, Norwalk, CT, United States"
210187,2021,1/24/2022,New London,12 RIVERVIEW AVE,87710,103000,0.851499975,Residential,Single Family,07 - Change in Property,IN DISREPAIR,,-72.103289036 41.341320994,41.34132099,-72.10328904,"12, Riverview Avenue, 06320, Riverview Avenue, New London, CT, United States"
210213,2021,1/24/2022,South Windsor,15 MORGAN FARMS DR,799900,1565000,0.511099994,Commercial,,,,,-72.566684565 41.847814006,41.84781401,-72.56668457,"15, Morgan Farms Drive, 06074, Morgan Farms Drive, South Windsor, CT, United States"
210101,2021,1/24/2022,Rocky Hill,527 OLD MAIN STREET,125440,245000,0.512000024,Residential,Single Family,,,,-72.640714959 41.67194001,41.67194001,-72.64071496,"527, Old Main Street, 06067, Old Main Street, Rocky Hill, CT, United States"
210799,2021,1/24/2022,Waterbury,61 CHIPMAN ST,79230,249000,0.318100005,Residential,Single Family,,,,-73.052988003 41.543221009,41.54322101,-73.052988,"65, Chipman Street, 06708, Chipman Street, Waterbury, CT, United States"
2100822,2021,1/24/2022,Stamford,77 HAVEMEYER LANE #38,545440,965000,0.565199971,Residential,Condo,,,,-73.565795018 41.055780985,41.05578099,-73.56579502,"77, Havemeyer Lane, 06902, Havemeyer Lane, Stamford, CT, United States"
210088,2021,1/24/2022,Tolland,80 MARBELLA LANE,186700,354500,0.526600003,Residential,Single Family,,,,-72.344045961 41.849866985,41.84986699,-72.34404596,"80, Marbella Lane, 06084, Marbella Lane, Tolland, CT, United States"
2100817,2021,1/24/2022,Stamford,60 STRAWBERRY HILL AVE #715,82120,140000,0.586499989,Residential,Condo,,,,-73.53338597 41.062373017,41.06237302,-73.53338597,"48, Strawberry Hill Avenue, 06902, Strawberry Hill Avenue, Stamford, CT, United States"
210303,2021,1/24/2022,Norwich,31 BLISS PL,81800,180007,0.454400003,Residential,Two Family,,,,-72.084930992 41.543718014,41.54371801,-72.08493099,"31, Bliss Place, 06360, Bliss Place, Norwich, CT, United States"
210122,2021,1/24/2022,Seymour,28 STODDARD ST,125860,220000,0.572000027,Residential,Single Family,,,,-73.065018967 41.39249398,41.39249398,-73.06501897,"28, Stoddard Street, 06483, Stoddard Street, Seymour, CT, United States"
210191,2021,1/24/2022,New London,80 MORGAN ST,101150,270126,0.37439999,Residential,Single Family,,,,-72.118289039 41.367171999,41.367172,-72.11828904,"80, Morgan Street, 06320, Morgan Street, New London, CT, United States"
210613,2021,1/24/2022,Sprague,36-38 RIVER ST,171720,294900,0.582199991,Residential,Single Family,24 - Plottage,2 LOTS - SINGLE FAM & 2 FAM - SOLD IN PACKAGE DEAL - ASMTS COMBINED FOR RATIO,,-72.080507023 41.616244987,41.61624499,-72.08050702,"40, River Street, 06330, River Street, Sprague, CT, United States"
210346,2021,1/24/2022,Torrington,460 TORRINGFORD ST,93470,190700,0.490099996,Residential,Single Family,,,,-73.084123001 41.809140994,41.80914099,-73.084123,"460, Torringford Street, 06790, Torringford Street, Torrington, CT, United States"
