Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
21213,2021,1/13/2022,Newtown,3 WHITE OAK FARM ROAD,"370,130.00","500,000.00",0.7402,Residential,Single Family,01 - Family,,,POINT (-73.304768975 41.362730009)
210549,2021,1/13/2022,Norwalk,16 ROCK MEADOW RD UNIT N,"142,060.00","230,000.00",0.6176,Residential,Condo,,5-58-437-N,,POINT (-73.436232001 41.118000984)
210318,2021,1/13/2022,Torrington,1229 WINSTED RD UNIT 111,"72,410.00","157,000.00",0.4612,Residential,Condo,,,,POINT (-73.100132491 41.839412198)
210158,2021,1/13/2022,Stonington,5 NUTMEG RD,"159,200.00","340,000.00",0.4682,Residential,Single Family,,,,POINT (-71.852683039 41.398562017)
210403,2021,1/13/2022,New Haven,36 CHAMBERLAIN ST UNIT 40B,"61,215.00","155,000.00",0.3949,Residential,Condo,,,,POINT (-72.89584601 41.293887008)
210746,2021,1/13/2022,Waterbury,390 FARMINGTON AVE,"73,480.00","180,000.00",0.4082,Residential,Single Family,,,,POINT (-73.045123011 41.575134015)
210748,2021,1/13/2022,Waterbury,110  SUNNYSIDE AVE,"93,960.00","253,000.00",0.3713,Apartments,,25 - Other,ESTATE LIQUIDATION,,POINT (-73.05378202 41.549531995)
2100768,2021,1/13/2022,Stamford,50 DALE STREET,"187,560.00","360,000.00",0.521,Residential,Single Family,,,,POINT (-73.519351982 41.050252994)
210101,2021,1/13/2022,Suffield,45 S MAIN ST,"253,120.00","375,000.00",0.6749,Residential,Four Family,,,,POINT (-72.651703941 41.98045889)
210118,2021,1/13/2022,Seymour,8 MAIDEN LA,"115,570.00","177,500.00",0.651,Residential,Single Family,,,,POINT (-73.137198972 41.360824006)
2100372,2021,1/13/2022,Stratford,456 WILCOXSON AVENUE,"161,070.00","365,000.00",0.4412,Residential,Single Family,,,,POINT (-73.120234 41.207081001)
210081,2021,1/13/2022,Tolland,25 HURLBUT,"53,200.00","27,000.00",1.9703,Vacant Land,,01 - Family,,,POINT (-72.405275435 41.883878902)
210179,2021,1/13/2022,Newington,51 EAST ROBBINS AVE,"141,180.00","390,000.00",0.362,Residential,Single Family,07 - Change in Property,,NEW CONSTRUCTION,POINT (-72.719090202 41.686807773)
2100771,2021,1/13/2022,Stamford,23 STANDISH ROAD #10C3,"96,110.00","195,000.00",0.4928,Residential,Condo,,,,POINT (-73.517135975 41.057907013)
210544,2021,1/13/2022,Southington,296 LITTLE FAWN RD,"194,380.00","360,000.00",0.539944444,Residential,Single Family,,,,POINT (-72.888140023 41.614647983)
210547,2021,1/13/2022,Norwalk,10 YARMOUTH RD,"732,160.00","2,291,773.00",0.319473176,Residential,Single Family,07 - Change in Property,6-36-24-0,FRONT PORCH CONVERTED TO LIVING ARE PER MLS,POINT (-73.43485804 41.057954999)
213350,2021,1/13/2022,North Haven,91 UPPER STATE ST,"163,690.00","300,000.00",0.5456,Residential,Single Family,,,,POINT (-72.866839009 41.402617014)
210743,2021,1/13/2022,Waterbury,14 THEROUX AVE,"75,800.00","172,000.00",0.4406,Residential,Single Family,,,,POINT (-73.066267033 41.560365018)
210616,2021,1/13/2022,Sprague,201 WILLIMANTIC RD,"95,580.00","267,000.00",0.3579,Residential,Single Family,,,,POINT (-72.105172031 41.618467994)
2100373,2021,1/13/2022,Stratford,530 GREENFIELD AVENUE,"143,990.00","300,000.00",0.4799,Residential,Single Family,,,,POINT (-73.148520995 41.207856997)
2100767,2021,1/13/2022,Stamford,1 BROAD STREET UNIT PH33A,"846,885.00","960,000.00",0.8821,Residential,Condo,,,,POINT (-73.542049003 41.055134992)
210548,2021,1/13/2022,Norwalk,15 COUNTRY CLUB RD,"320,410.00","570,000.00",0.5621,Residential,Single Family,,5-8-96-0,,POINT (-73.384239978 41.124462006)
21121,2021,1/13/2022,Plainville,16 ADAMS WAY,"291,410.00","430,000.00",0.6776,Residential,Single Family,,,,POINT (-72.863944989 41.660136991)
210404,2021,1/13/2022,New Haven,25 HUNTINGTON AVE,"123,025.00","270,000.00",0.4556,Residential,Single Family,,,,POINT (-72.889977001 41.283168984)
210201,2021,1/13/2022,South Windsor,1049 JOHN FITCH BLVD,"195,200.00","195,200.00",1,Vacant Land,,03 - Inter Corporation,INDUSTRIAL LAND,,POINT (-72.604947618 41.833265243)
210147,2021,1/13/2022,Simsbury,1340 HOPMEADOW STREET,"753,400.00","753,400.00",1,Commercial,,21 - Personal Property Exchange,,,POINT (-72.785978035 41.901904983)
210402,2021,1/13/2022,New Haven,529 WOODWARD AVE #D,"92,435.00","139,000.00",0.665,Residential,Condo,,,,POINT (-72.895980036 41.283007004)
210316,2021,1/13/2022,Torrington,30 APTER DR,"117,670.00","242,000.00",0.4862,Residential,Single Family,,,,POINT (-73.101594994 41.805535016)
210028,2021,1/13/2022,Washington,30 CALHOUN ST,"311,290.00","568,000.00",0.548,Residential,Single Family,,,,POINT (-73.321767977 41.644063979)
210745,2021,1/13/2022,Waterbury,115 MIDLAND RD,"85,140.00","242,000.00",0.3518,Residential,Single Family,,,,POINT (-72.989958019 41.547590998)
2100770,2021,1/13/2022,Stamford,26 COOK ROAD,"676,030.00","1,475,000.00",0.4583,Residential,Single Family,,,,POINT (-73.546366018 41.030878015)
21124,2021,1/13/2022,Plainfield,0 BLACKK HILL RD,"36,960.00","40,000.00",0.924,Vacant Land,,,,,POINT (-71.945583677 41.707112321)
2100371,2021,1/13/2022,Stratford,250 ROCKWELL AVENUE,"152,250.00","301,000.00",0.5058,Residential,Single Family,,,,POINT (-73.141477012 41.191632986)
210545,2021,1/13/2022,Southington,2 STONY CREEK RD,"138,000.00","271,400.00",0.508474576,Residential,Single Family,25 - Other,AFFORDABLE/INCOME BASED HOUSING UNIT,,POINT (-72.893251978 41.564047021)
21130,2021,1/13/2022,Stafford,92 FURNACE AVE #17,"118,440.00","235,000.00",0.504,Residential,Condo,,,,POINT (-72.299197818 41.96480939)
21069,2021,1/13/2022,Thompson,568 FABYAN RD,"85,500.00","129,000.00",0.6627,Residential,Single Family,,,,POINT (-71.941641016 42.011113009)
210277,2021,1/13/2022,Norwich,18 CAULKINS RD,"166,900.00","300,000.00",0.5563,Residential,Single Family,,,,POINT (-72.084416008 41.576774983)
21125,2021,1/13/2022,Plainfield,45-51 PROSPECT ST,"326,230.00","300,000.00",1.087433333,Apartments,,,,,POINT (-71.883147805 41.712955994)
210200,2021,1/13/2022,South Windsor,53 MOUNTAIN DR,"200,500.00","403,000.00",0.4975,Residential,Condo,,,,POINT (-72.527663453 41.824349077)
210148,2021,1/13/2022,Simsbury,518 HOPMEADOW STREET,"814,350.00","814,350.00",1,Commercial,,21 - Personal Property Exchange,,,POINT (-72.810413964 41.859783992)
210744,2021,1/13/2022,Waterbury,30 HIGHWOOD RD,"84,590.00","220,000.00",0.3845,Residential,Single Family,,,,POINT (-73.084102968 41.546204002)
210317,2021,1/13/2022,Torrington,65 CHESTNUT HILL RD,"172,980.00","355,000.00",0.4872,Residential,Single Family,,,,POINT (-73.081558977 41.811206002)
210546,2021,1/13/2022,Norwalk,175 MAIN ST,"161,530.00","150,000.00",1.076866667,Commercial,,,1-92-27-0; SATELLITE CONTROL STATION),,POINT (-73.420861016 41.125348979)
2100374,2021,1/13/2022,Stratford,1220 HILLSIDE AVENUE,"173,880.00","375,000.00",0.4636,Residential,Two Family,,,,POINT (-73.135360988 41.202275991)
2100774,2021,1/13/2022,Stamford,22 GLENBROOK ROAD # 415,"92,370.00","139,000.00",0.6645,Residential,Condo,,,,POINT (-73.529915024 41.05615398)
2100773,2021,1/13/2022,Stamford,910 HOPE STREET UNIT 9A,"133,860.00","256,000.00",0.5228,Residential,Condo,,,,POINT (-73.51830701 41.090023993)
210029,2021,1/13/2022,Washington,14 TINKER HILL RD,"52,500.00","170,000.00",0.3088,Vacant Land,,,,,POINT (-73.353522233 41.683969379)
210749,2021,1/13/2022,Waterbury,1 HORSESHOE DR,"70,340.00","152,002.00",0.4627,Residential,Single Family,11 - Court Order,,,POINT (-73.037817009 41.520445995)
2100375,2021,1/13/2022,Stratford,142 VERMONT AVENUE,"199,990.00","385,000.00",0.5194,Residential,Single Family,,,,POINT (-73.113116004 41.15609401)
210546,2021,1/13/2022,Southington,131 PACER LN,"330,270.00","615,000.00",0.53702439,Residential,Single Family,,,,POINT (-72.920799019 41.577214991)
210319,2021,1/13/2022,Torrington,115 CHESTNUT HILL RD,"125,170.00","280,000.00",0.447,Residential,Single Family,11 - Court Order,SALE BY PROBATE COURT ORDER,,POINT (-73.080082002 41.810954)
2100769,2021,1/13/2022,Stamford,1 BROAD STREET # 17F,"337,280.00","560,000.00",0.6022,Residential,Condo,,,,POINT (-73.542049003 41.055134992)
210551,2021,1/13/2022,Norwalk,6 TOILSOME AVE,"379,760.00","699,000.00",0.5432,Residential,Single Family,,5-20-87-0,,POINT (-73.404266021 41.138857003)
2119852,2021,1/13/2022,Redding,340 NEWTOWN TPKE,"294,700.00","700,000.00",0.421,Residential,Single Family,,,,POINT (-73.358414999 41.301051984)
210225,2021,1/13/2022,Windsor,922 WORTHY ST,"106,610.00","225,000.00",0.4738,Residential,Single Family,,,,POINT (-72.660239009 41.832145002)
21094,2021,1/13/2022,Wilton,38 SALEM ROAD,"527,170.00","1,400,000.00",0.3765,Residential,Single Family,,,,POINT (-73.408488991 41.173848012)
210108,2021,1/13/2022,Windsor Locks,179 ELLA GRASSO TURNPIKE,"668,850.00","668,850.00",1,Commercial,,,,COMMERCIAL VACANT LAND,POINT (-72.669551974 41.926632017)
210034,2021,1/13/2022,Willington,TURNPIKE ROAD (MAP/LOT 46/023-,"76,710.00","58,000.00",1.322586207,Vacant Land,,,,,POINT (-72.238725739 41.922921793)
210039,2021,1/13/2022,Woodbridge,19 NORTHROP RD,"197,680.00","342,000.00",0.578,Residential,Single Family,,,,POINT (-73.033405027 41.333490997)
210285,2021,1/13/2022,West Haven,82 HINMAN ST,"122,780.00","290,000.00",0.4233,Residential,Two Family,,,,POINT (-72.957268009 41.299118992)
210418,2021,1/12/2022,Bristol,47 INGRAHAM PL,"89,250.00","198,500.00",0.4496,Residential,Single Family,,,,POINT (-72.94433599 41.683208012)
210082,2021,1/12/2022,Derby,21-23 ELM ST,"101,570.00","220,000.00",0.4616,Residential,Two Family,,,,POINT (-73.073587033 41.306955987)
210202,2021,1/12/2022,Glastonbury,493 NEIPSIC RD,"396,500.00","667,200.00",0.5942,Residential,Single Family,,,,POINT (-72.566370998 41.704081004)
210095,2021,1/12/2022,Mansfield,22 MEADOWBROOK LA,"205,100.00","347,000.00",0.591,Residential,Single Family,,,,POINT (-72.204515018 41.737800018)
210417,2021,1/12/2022,New Britain,181 FAIRWAY DR,"88,002.00","225,000.00",0.3911,Residential,Single Family,,,,POINT (-72.767814031 41.699582982)
210081,2021,1/12/2022,Coventry,24 WALNUT TR,"99,600.00","195,000.00",0.5107,Residential,Single Family,,,,POINT (-72.313112967 41.764763008)
210067,2021,1/12/2022,Canton,5 SHAGBARK LANE,"233,010.00","430,000.00",0.5418,Residential,Single Family,,,,POINT (-72.896096042 41.893932997)
210141,2021,1/12/2022,Ledyard,80 AVERY HILL RD,"141,610.00","280,000.00",0.5057,Residential,Single Family,,,,POINT (-72.044804315 41.460117384)
210686,2021,1/12/2022,Middletown,65 DEERFIELD AVE,"90,480.00","185,000.00",0.489,Residential,Single Family,,,,POINT (-72.638529964 41.536670007)
21000072,2021,1/12/2022,Granby,9 ERIC DR,"216,720.00","362,000.00",0.5986,Residential,Single Family,,,,POINT (-72.78681304 42.000417994)
210415,2021,1/12/2022,New Britain,153-15B BRITTANY FARMS,"87,990.00","125,000.00",0.7039,Residential,Condo,,,,POINT (-72.769667193 41.711121334)
21000161,2021,1/12/2022,Cheshire,246 MOUNTAIN RD,"269,330.00","490,000.00",0.5496,Residential,Single Family,,,,POINT (-72.929490969 41.504520002)
210140,2021,1/12/2022,Ledyard,9 STONYBROOK RD,"198,240.00","340,000.00",0.583,Residential,Single Family,,,,POINT (-72.063717987 41.458281987)
21151,2021,1/12/2022,Guilford,7 YORK ST,"201,310.00","330,000.00",0.61,Residential,Single Family,,,,POINT (-72.689199994 41.288217991)
21177,2021,1/12/2022,Farmington,7 HAWTHORNE LA,"183,740.00","365,000.00",0.5033,Residential,Single Family,,,,POINT (-72.843968986 41.698416011)
21030,2021,1/12/2022,Canterbury,KINNE RD,"41,000.00","42,500.00",0.9647,Vacant Land,,,29/13,,POINT (-72.010566898 41.685916131)
210134,2021,1/12/2022,Bloomfield,5 CRESTVIEW DRIVE,"125,160.00","156,640.00",0.799,Residential,Single Family,14 - Foreclosure,,,POINT (-72.730221028 41.832292984)
210133,2021,1/12/2022,New Canaan,229 LOST DISTRICT DR,"1,257,620.00","2,150,000.00",0.584939535,Residential,Single Family,,,,POINT (-73.544062 41.177703981)
210111,2021,1/12/2022,Berlin,8 SOUTH SLOPE DR,"198,200.00","365,000.00",0.543,Residential,Single Family,,,,POINT (-72.795485963 41.633604999)
210200,2021,1/12/2022,Branford,196 ALPS RD,"241,900.00","423,000.00",0.5718,Residential,Single Family,,,,POINT (-72.845529026 41.264716015)
210137,2021,1/12/2022,Ledyard,89 STODDARDS WHARF RD,"202,160.00","340,000.00",0.5945,Residential,Single Family,,,,POINT (-72.033296959 41.444021981)
210685,2021,1/12/2022,Middletown,863 RANDOLPH RD,"125,270.00","237,000.00",0.5285,Residential,Single Family,,,,POINT (-72.645207994 41.532243021)
210416,2021,1/12/2022,New Britain,255 WOOSTER ST,"92,890.00","225,000.00",0.4128,Residential,Single Family,,,,POINT (-72.816783959 41.661253)
210068,2021,1/12/2022,Canton,28 HIGH HILL ROAD,"86,580.00","122,000.00",0.7096,Residential,Single Family,,,,POINT (-72.889000006 41.835041997)
210496,2021,1/12/2022,Danbury,8 HARMONY ST,"318,400.00","255,000.00",1.2486,Commercial,,25 - Other,RATIO TOO HIGH / H14222,,POINT (-73.457886983 41.392791998)
210495,2021,1/12/2022,Danbury,4 PRESIDENT ST,"201,200.00","350,000.00",0.5748,Residential,Single Family,,K16164,,POINT (-73.433667977 41.384741013)
21149,2021,1/12/2022,Guilford,1161 BOSTON POST RD,"439,200.00","795,000.00",0.5524,Commercial,,,,,POINT (-72.688750975 41.287977012)
210080,2021,1/12/2022,Coventry,312 HANNAH LN,"478,000.00","705,000.00",0.678,Residential,Two Family,,,,POINT (-72.370677028 41.823224016)
2121106,2021,1/12/2022,Ansonia,26 ARBOR TERR,"150,600.00","288,000.00",0.5229,Residential,Single Family,,,,POINT (-73.043260972 41.327232985)
210027,2021,1/12/2022,Goshen,49 NORTH ST,"181,090.00","425,000.00",0.426,Residential,Single Family,,,,POINT (-73.228677974 41.834508992)
210042,2021,1/12/2022,Bethany,106 LUKE HILL RD,"325,650.00","610,000.00",0.5338,Residential,Single Family,,,,POINT (-73.004415041 41.413081987)
210363,2021,1/12/2022,Hamden,61 DANIEL RD,"126,420.00","150,000.00",0.8428,Residential,Single Family,08 - Part Interest,2 DEEDS; 1 PROPERTY,,POINT (-72.892802038 41.35677802)
21000160,2021,1/12/2022,Cheshire,15 SHIRE CT,"448,260.00","799,000.00",0.561,Residential,Single Family,,,,POINT (-72.937219 41.474423982)
210199,2021,1/12/2022,Branford,18 PONDS,"244,900.00","475,000.00",0.5155,Residential,Condo,,,,POINT (-72.81344 41.28321)
210132,2021,1/12/2022,Bloomfield,659 PARK AVE,"146,550.00","261,000.00",0.5614,Residential,Single Family,,,,POINT (-72.727674019 41.825733013)
2115,2021,1/12/2022,Darien,40 MIDDLESEX RD,"506,170.00","800,000.00",0.6327,Residential,Single Family,,,,POINT (-73.511351037 41.077237987)
210105,2021,1/12/2022,Clinton,99 AIRLINE RD,"166,600.00","260,000.00",0.6407,Residential,Single Family,,,,POINT (-72.561422993 41.298891004)
21000163,2021,1/12/2022,Cheshire,1005 MOSS FARMS RD,"189,970.00","420,000.00",0.4523,Residential,Single Family,,,,POINT (-72.921501004 41.533192984)
210494,2021,1/12/2022,Danbury,166 OLD BROOKFIELD RD 23A3,"79,900.00","155,000.00",0.5154,Residential,Condo,,L09031-133,,POINT (-73.423697033 41.421658979)
210133,2021,1/12/2022,Bloomfield,8 BELDEN ROAD,"2,256,660.00","6,600,000.00",0.3419,Industrial,,25 - Other,NOT ARMS-LENGTH TRANSACTION,,POINT (-72.696380016 41.858751006)
210421,2021,1/12/2022,Bristol,577 EAST RD,"89,320.00","168,000.00",0.5316,Residential,Single Family,,,,POINT (-72.931491981 41.667283988)
210201,2021,1/12/2022,Branford,5 CHESTNUT HILL,"138,300.00","90,000.00",1.5366,Residential,Condo,08 - Part Interest,,,POINT (-72.809481981 41.288342002)
210417,2021,1/12/2022,Bristol,105 PEQUABUCK ST,"83,510.00","410,500.00",0.2034,Residential,Single Family,07 - Change in Property,,,POINT (-72.979923218 41.678604986)
210138,2021,1/12/2022,Ledyard,26 IRON ST,"4,470.00","520,000.00",0.0085,Vacant Land,,28 - Use Assessment,FOREST,,POINT (-72.013703712 41.446851817)
210684,2021,1/12/2022,Middletown,6 MAGNOLIA AVE,"177,240.00","339,000.00",0.5228,Residential,Single Family,,,,POINT (-72.648255989 41.542598988)
210420,2021,1/12/2022,Bristol,53 HILTBRAND RD UN 3-4,"45,290.00","89,000.00",0.5088,Residential,Condo,,,,POINT (-72.904392031 41.695454014)
210201,2021,1/12/2022,Glastonbury,26 MARLBOROUGH RD,"318,300.00","579,000.00",0.5497,Residential,Single Family,,,,POINT (-72.471302027 41.703751009)
21018,2021,1/12/2022,Eastford,OLD COLONY RD,"34,770.00","65,000.00",0.5349,Vacant Land,,06 - Portion of Property,,,POINT (-72.084438617 41.892435491)
210364,2021,1/12/2022,Hamden,61 DANIEL RD,"126,420.00","75,000.00",1.6856,Residential,Single Family,08 - Part Interest,2 DEEDS; 1 PROPERTY,,POINT (-72.892802038 41.35677802)
210033,2021,1/12/2022,Kent,STONEWALL LN,"128,400.00","127,000.00",1.011,Vacant Land,,,,,POINT (-73.412227319 41.752979474)
210198,2021,1/12/2022,Branford,61 TURTLE BAY DR,"159,200.00","280,000.00",0.5685,Residential,Condo,,,,POINT (-72.835522961 41.256148997)
210326,2021,1/12/2022,Fairfield,198 OLD BLACK ROCK TPKE,"238,280.00","405,000.00",0.5883,Residential,Single Family,,,,POINT (-73.258187973 41.189714997)
210142,2021,1/12/2022,Ledyard,1651 CENTER GROTON RD,"197,680.00","358,000.00",0.5521,Residential,Single Family,,,,POINT (-72.029504986 41.400180981)
2100039,2021,1/12/2022,Marlborough,108 JONES HOLLOW RD,"119,700.00","242,000.00",0.4946,Residential,Single Family,,,,POINT (-72.461132013 41.645128984)
210419,2021,1/12/2022,Bristol,114 MERCIER AVE,"102,690.00","217,000.00",0.4732,Residential,Single Family,,,,POINT (-72.928909013 41.690768991)
21000162,2021,1/12/2022,Cheshire,750 RESERVOIR RD,"489,190.00","640,000.00",0.7643,Residential,Single Family,,,,POINT (-72.866811013 41.50971301)
210493,2021,1/12/2022,Danbury,34 HARRISON ST,"173,800.00","300,000.00",0.5793,Residential,Single Family,,J15359,,POINT (-73.434731976 41.386770984)
210081,2021,1/12/2022,Derby,26 COMMODORE COMMONS,"93,170.00","200,000.00",0.4658,Residential,Condo,,,,POINT (-73.074853177 41.308412291)
21034,2021,1/12/2022,Durham,JOHNSON LA,"82,810.00","100,000.00",0.8281,Vacant Land,,01 - Family,CONVEYED TO ABUTTING PROPERTY OWNER WHO IS FAMILY,,POINT (-72.64438067 41.487294494)
210687,2021,1/12/2022,Middletown,425 FOWLER AVE,"137,050.00","225,000.00",0.6091,Residential,Single Family,,,,POINT (-72.636715031 41.534146006)
210139,2021,1/12/2022,Ledyard,39-34 ASH DR,"63,000.00","127,000.00",0.496,Residential,Condo,,,,POINT (-72.040578989 41.430924)
210683,2021,1/12/2022,Middletown,162 HIGHLAND AVE,"111,550.00","250,000.00",0.4462,Residential,Two Family,,,,POINT (-72.653252023 41.547599003)
21150,2021,1/12/2022,Guilford,20 HUNTER DR,"276,340.00","450,000.00",0.614,Residential,Condo,,,,POINT (-72.670511032 41.277825018)
210096,2021,1/12/2022,Mansfield,21 HIGHLAND RD,"146,600.00","189,900.00",0.7719,Residential,Single Family,,,,POINT (-72.245975012 41.736774995)
210132,2021,1/12/2022,New Canaan,123 RICHMOND HILL RD-#11,"542,640.00","775,000.00",0.7001,Residential,Condo,,,,POINT (-73.501337009 41.143109017)
210543,2021,1/12/2022,Southington,28 MERRIMAN CIR,"180,750.00","316,500.00",0.571090047,Residential,Single Family,,,,POINT (-72.912887006 41.611445007)
210111,2021,1/12/2022,Seymour,22 BUNTING RD,"131,950.00","270,000.00",0.4887,Residential,Single Family,,,,POINT (-73.051129986 41.403870988)
210093,2021,1/12/2022,Rocky Hill,67 SUNSET RIDGE,"221,060.00","365,000.00",0.6056,Residential,Single Family,,,,POINT (-72.68128798 41.648262014)
2119855,2021,1/12/2022,Redding,6 PUTNAM HILL DR,"505,700.00","825,000.00",0.6129,Residential,Single Family,,,,POINT (-73.376153034 41.330496018)
2100755,2021,1/12/2022,Stamford,34 CRESCENT STREET UNIT 2I,"144,580.00","280,000.00",0.5163,Residential,Condo,,,,POINT (-73.518678999 41.07056201)
210254,2021,1/12/2022,Wallingford,1030 DURHAM RD,"218,700.00","325,000.00",0.6729,Residential,Single Family,,,,POINT (-72.784360998 41.462733993)
210198,2021,1/12/2022,South Windsor,37 OVERLOOK RD,"131,200.00","275,000.00",0.477,Residential,Single Family,,,,POINT (-72.556218166 41.859506132)
21035,2021,1/12/2022,Salisbury,65 HAMMERTOWN ROAD,"289,930.00","5,000.00",57.986,Vacant Land,,06 - Portion of Property,LOT LINE ADJUSTMENT,,POINT (-73.413435991 42.041749997)
210736,2021,1/12/2022,Waterbury,100 GEDDES TERR,"55,470.00","358,000.00",0.154944134,Residential,Single Family,07 - Change in Property,,,POINT (-73.046717944 41.534964123)
210542,2021,1/12/2022,Norwalk,124 SPRING HILL AVE,"209,280.00","312,500.00",0.6696,Residential,Single Family,,5-56-128-0,,POINT (-73.431202021 41.125480994)
210400,2021,1/12/2022,New Haven,313 FOUNTAIN ST,"152,950.00","315,000.00",0.4855,Residential,Single Family,,,,POINT (-72.970215032 41.327510006)
2100762,2021,1/12/2022,Stamford,2437 BEDFORD STREET UNIT 20-4,"239,880.00","435,000.00",0.5514,Residential,Condo,25 - Other,MULTIPLE PARCEL SALE,,POINT (-73.543218027 41.070203013)
2100764,2021,1/12/2022,Stamford,1 BROAD STREET # 8F,"290,320.00","510,000.00",0.5692,Residential,Condo,,,,POINT (-73.542049003 41.055134992)
210313,2021,1/12/2022,Torrington,23 RED MTN AVE,"74,250.00","178,000.00",0.4171,Residential,Two Family,,,,POINT (-73.127848959 41.812911007)
2100226,2021,1/12/2022,New Milford,16 FORDYCE RD,"146,070.00","200,000.00",0.7303,Residential,Single Family,,,,POINT (-73.401786989 41.56876599)
210740,2021,1/12/2022,Waterbury,192 KAYNORY DR #A,"31,220.00","93,500.00",0.333903743,Residential,Condo,25 - Other,ESTATE LIQUIDATION,,POINT (-73.078323981 41.580063999)
210397,2021,1/12/2022,New Haven,116 FRANK ST,"130,830.00","285,000.00",0.459,Residential,Two Family,,,,POINT (-72.940548962 41.294886005)
2100055,2021,1/12/2022,Prospect,38 INDUSTRIAL RD,"1,378,640.00","927,500.00",1.486404313,Industrial,,08 - Part Interest,,,POINT (-72.998754994 41.512171003)
2100758,2021,1/12/2022,Stamford,40 SWAMPSCOTT ROAD,"273,010.00","536,000.00",0.5093,Residential,Single Family,,,,POINT (-73.549433962 41.09517199)
2100369,2021,1/12/2022,Stratford,385 ORONOQUE LANE,"2,707,800.00","750,000.00",3.6104,Commercial,,25 - Other,CURRENT 2019 REVAL COURT CASE WITH GOLF CLUB,,POINT (-73.115383979 41.249062014)
21084,2021,1/12/2022,Oxford,2 JENNY LANE,"410,400.00","635,000.00",0.6462,Residential,Single Family,,,,POINT (-73.097418041 41.418010002)
210252,2021,1/12/2022,Wallingford,278 SOUTH ORCHARD ST,"145,900.00","282,000.00",0.5173,Commercial,,,,,POINT (-72.826479977 41.448457014)
2119854,2021,1/12/2022,Redding,37 SULLIVAN DR,"345,900.00","800,000.00",0.4323,Residential,Single Family,,,,POINT (-73.355476974 41.308383006)
210394,2021,1/12/2022,New Haven,64 STANLEY ST,"186,935.00","336,500.00",0.5555,Residential,Three Family,,,,POINT (-72.950905977 41.313414998)
210314,2021,1/12/2022,Torrington,4 LOTS ON LAURELTON DR,"12,420.00","20,000.00",0.621,Vacant Land,,25 - Other,SALE INCLUDES 4 SEPARATE PARCELS,,POINT (-73.087783928 41.846386759)
21120,2021,1/12/2022,Plainville,68 COOKE ST LOT 18,"21,070.00","2,000.00",10.535,Residential,Condo,25 - Other,MOBLIE HOME TO BE REPLACED WITH NEW,,POINT (-72.849083037 41.68029199)
210734,2021,1/12/2022,Waterbury,37 CHAPEL ST,"45,200.00","105,000.00",0.43047619,Residential,Single Family,26 - Rehabilitation Deferred,,,POINT (-73.05230999 41.587921992)
210177,2021,1/12/2022,Newington,68-70 SEVENTH ST,"115,550.00","240,000.00",0.4814,Residential,Two Family,,,,POINT (-72.752876977 41.678935001)
210019,2021,1/12/2022,Roxbury,87 SOUTH ST,"425,910.00","660,000.00",0.6453,Residential,Single Family,25 - Other,DISCOVERED HOUSE IS IN DIRE NEED OF REPAIR,,POINT (-73.304440991 41.544882009)
210399,2021,1/12/2022,New Haven,208 FRONT ST,"106,050.00","275,000.00",0.3856,Residential,Single Family,,,,POINT (-72.889190024 41.310602995)
2100057,2021,1/12/2022,Prospect,44 SHERWOOD DR,"211,350.00","387,100.00",0.54598295,Residential,Single Family,,,,POINT (-72.991925 41.528207009)
210178,2021,1/12/2022,Newington,175 ORCHARD AVE,"147,950.00","260,000.00",0.569,Residential,Single Family,,,,POINT (-72.744877959 41.654994987)
2100765,2021,1/12/2022,Stamford,65 GLENBROOK ROAD # 3D,"133,060.00","255,000.00",0.5218,Residential,Condo,,,,POINT (-73.528282984 41.05748599)
2100059,2021,1/12/2022,Prospect,148 SYCAMORE DR,"201,030.00","387,100.00",0.519323172,Residential,Condo,,,,POINT (-72.972712601 41.524740102)
21085,2021,1/12/2022,Oxford,58 JACKSON COVE ROAD,"237,200.00","439,902.00",0.5392,Residential,Single Family,,,,POINT (-73.18968997 41.415671996)
210737,2021,1/12/2022,Waterbury,226 PLATT ST,"81,980.00","308,000.00",0.2661,Residential,Four Family,,,,POINT (-73.027108038 41.568583013)
2100368,2021,1/12/2022,Stratford,436 SEDGEWICK AVENUE,"130,690.00","60,000.00",2.1781,Residential,Two Family,25 - Other,SEE MORTGAGE DEED FILED BETWEEN GRANTOR/GRANTEE,,POINT (-73.137469959 41.17755801)
2100759,2021,1/12/2022,Stamford,0 HARBOR DRIVE DOCK# L24,"21,000.00","26,500.00",0.7924,Residential,Condo,,,,POINT (-73.529858872 41.037214499)
210738,2021,1/12/2022,Waterbury,127 AVON AVE,"96,750.00","239,000.00",0.4048,Residential,Two Family,,,,POINT (-73.050578038 41.535838019)
210544,2021,1/12/2022,Norwalk,703 FOXBORO DR UNIT 703,"295,170.00","515,000.00",0.5731,Residential,Condo,,5-35-2-703,,POINT (-73.416008983 41.158970008)
210393,2021,1/12/2022,New Haven,435 ORCHARD ST UNIT A-5,"40,705.00","75,000.00",0.5427,Residential,Condo,,,,POINT (-72.940226008 41.313081985)
2100757,2021,1/12/2022,Stamford,54 BLUE ROCK DRIVE,"521,760.00","745,000.00",0.7003,Residential,Single Family,,,,POINT (-73.530769978 41.129059019)
